Course Name,Tee Name,Slope Rating,Course Rating,Par
GREYTOWN COUNTRY CLUB,White,113,66.5,71
GROBLERSDAL GOLF CLUB,Red,114,67.6,72
GROBLERSDAL GOLF CLUB,Yellow,127,72.3,72
HANKEY GOLF CLUB,Red,112,67,72
HANKEY GOLF CLUB,White,122,69.1,72
HANKEY GOLF CLUB,Yellow,126,70.5,72
HANS MERENSKY GOLF CLUB,Red,115,65.5,72
HANS MERENSKY GOLF CLUB,White,123,71.6,72
HARDING GOLF CLUB,Back,131,70.8,72
HARDING GOLF CLUB,Front,122,66.9,72
HARRISMITH COUNTRY CLUB,Red,108,66.2,72
HARRISMITH COUNTRY CLUB,White,123,71.6,72
HARTSWATER GOLF CLUB,Blue,119,69.8,72
HARTSWATER GOLF CLUB,Red,116,66.9,72
HARTSWATER GOLF CLUB,White,122,71.3,72
HEIDELBERG GOLF CLUB,Blue,119,70.6,72
HEIDELBERG GOLF CLUB,Red,114,65.4,72
HEIDELBERG GOLF CLUB,White,123,73.1,72
HEIDELBERG GOLF CLUB (CAPE),Red,113,67,72
HEIDELBERG GOLF CLUB (CAPE),Yellow,121,69.4,72
HEILBRON GOLF CLUB,Blue,136,72,72
HEILBRON GOLF CLUB,Red,129,67.9,72
,HELDERBERG VILLAGE GOLF CLU Red,111,66.1,70
,HELDERBERG VILLAGE GOLF CLU Yellow,118,69.5,70
Hermanus: East Course (1-18),Black,130,74.6,72
Hermanus: East Course (1-18),Blue,116,68.5,72
Hermanus: East Course (1-18),Red,111,66.2,72
Hermanus: East Course (1-18),White,124,71.3,72
Hermanus: East Course (1-18),Yellow,129,72.7,72
Hermanus: North Course (19-9),Blue,117,68.6,72
Hermanus: North Course (19-9),Red,111,66.4,72
Hermanus: North Course (19-9),White,121,71.7,72
Hermanus: North Course (19-9),Yellow,126,73.4,72
Hermanus: South Course (10-27),Blue,117,68.3,72
Hermanus: South Course (10-27),Red,111,66,72
Hermanus: South Course (10-27),White,122,71,72
Hermanus: South Course (10-27),Yellow,128,72.5,72
HERON BANKS GOLF CLUB,Blue,134,70,71
HERON BANKS GOLF CLUB,Red,128,67.9,71
HERON BANKS GOLF CLUB,White,141,72.1,71
HERON BANKS GOLF CLUB,Yellow,145,74,71
HEX VALLEY GOLF CLUB,Red,110,64.7,70
HEX VALLEY GOLF CLUB,Yellow,119,68.6,70
HIGHLAND GATE,UBlue,135,69.3,72
HIGHLAND GATE,UGreen,146,73.9,72
HIGHLAND GATE,URed,119,63.7,72
HIGHLAND GATE,UWhite,139,70.5,72
HILLSIDE GOLF CLUB,Back,116,67.3,70
HILLSIDE GOLF CLUB,Front,105,63.1,70
HOOPSTAD GOLF CLUB,Blue,131,71.7,72
HOOPSTAD GOLF CLUB,Red,119,67,72
HOPETOWN GOLF CLUB,White,113,71.5,72
HOTAZEL GOLF CLUB,Back,102,59.3,60
HOUGHTON GOLF CLUB,Blue,136,70.6,72
HOUGHTON GOLF CLUB,Red,120,66.5,72
HOUGHTON GOLF CLUB,White,142,72.9,72
HOUGHTON GOLF CLUB,Yellow,145,74.4,72
HOWICK GOLF CLUB,Red,112,67.3,72
HOWICK GOLF CLUB,White,125,71.7,72
HUDDLE PARK GOLF AND RECRE,ABlue,122,70.9,72
HUDDLE PARK GOLF AND RECRE,ARed,113,67.3,72
HUDDLE PARK GOLF AND RECRE,AWhite,124,73,72
Humewood Golf Club,Blue,119,70.8,72
Humewood Golf Club,Red,110,68.5,72
Humewood Golf Club,White,127,72.3,72
Humewood Golf Club,Yellow,127,73.7,72
HUNTERS REST PAR 3 GOLF COU,Red,88,51.8,54
,INDALO WILTSHIRE GC OF SKUKU Red,114,63.5,72
,INDALO WILTSHIRE GC OF SKUKU White,123,66.2,72
Indwe Golf Club,Back,115,69.4,70
Indwe Golf Club,Front,109,66.5,72
IRENE COUNTRY CLUB,Blue,127,70.9,72
IRENE COUNTRY CLUB,Red,125,68.4,72
IRENE COUNTRY CLUB,White,131,72.7,72
IRENE COUNTRY CLUB,Yellow,136,73.9,72
JACKAL CREEK GOLF COURSE,Blue,122,68.3,72
JACKAL CREEK GOLF COURSE,Red,113,65.7,72
JACKAL CREEK GOLF COURSE,White,137,71.3,72
JACKAL CREEK GOLF COURSE,Yellow,141,73.2,72
JACOBSDAL GOLF CLUB,Red,122,68.4,72
JACOBSDAL GOLF CLUB,White,133,71.9,72
JAGERSFONTEIN GOLF CLUB,Red,112,65.7,72
JAGERSFONTEIN GOLF CLUB,Yellow,128,71.7,72
JAN KEMP GOLF CLUB,Blue,123,71.1,72
JAN KEMP GOLF CLUB,Red,113,66.9,72
JAN KEMP GOLF CLUB,White,129,72.4,72
JEFFREYS BAY GOLF CLUB,Blue,125,72,72
JEFFREYS BAY GOLF CLUB,Red,117,68.3,72
KAKAMAS GOLF CLUB,Back,120,70.5,72
KAKAMAS GOLF CLUB,Front,108,64.4,72
Kambaku Golf Club Komatipoort,Blue,127,69.6,72
Kambaku Golf Club Komatipoort,Red,118,66.5,72
Kambaku Golf Club Komatipoort,White,132,71.5,72
KAMEELDORING GOLF CLUB,Red,109,66.7,72
KAMEELDORING GOLF CLUB,White,114,71.6,72
KATBERG ECO GOLF & COUNTRY,Blue,121,67.8,72
KATBERG ECO GOLF & COUNTRY,Red,106,64.9,72
KATBERG ECO GOLF & COUNTRY,White,131,69.9,72
KEI MOUTH GOLF CLUB,Blue,122,68.9,73
KEI MOUTH GOLF CLUB,Red,116,66.3,73
KEI MOUTH GOLF CLUB,White,124,70.4,73
KEMPTON PARK GOLF CLUB,Blue,122,68.2,72
KEMPTON PARK GOLF CLUB,Red,117,66.3,72
KEMPTON PARK GOLF CLUB,White,129,71.9,72
KEMPTON PARK GOLF CLUB,Yellow,132,72.9,72
KESTELL COUNTRY CLUB,Red,121,65.9,72
KESTELL COUNTRY CLUB,White,132,72,72
KILBARCHAN GOLF CLUB,Back,134,72.5,72
KILBARCHAN GOLF CLUB,Front,123,67.4,72
